LifetimeValue,DaysWithoutFrequency,Age,Gender_dummy,Gender,EnrollmentDuration,DaysWithoutFrequency,AverageFrequency,UseByTime,AthleticsActivities,WaterActivities,FitnessActivities,DanceActivities,TeamActivities,RacketActivities,CombatActivities,NatureActivities,SpecialActivities,OtherActivities,NumberOfActivities,NumberOfFrequencies,AttendedClasses,AllowedWeeklyVisitsBySLA,AllowedNumberOfVisitsBySLA,RealNumberOfVisits,Ratio,NumberOfRenewals,HasReferences,NumberOfReferences,Dropout
73.7,292,22,0,Female,11,292,0.63,0,0,0,1,0,0,0,0,0,0,0,1,29,0,7,28.98,13,44.86,1,0,0,1
565.8,26,34,0,Female,30,26,1,0,0,1,1,0,0,0,0,0,0,0,2,121,0,7,60.97,12,19.68,3,0,0,1
921.45,29,6,0,Female,24,29,0.66,0,0,1,0,0,0,0,0,0,0,0,1,63,52,2,17.42,5,28.7,3,0,0,1
45.4,48,19,0,Female,3,48,0.28,0,0,0,1,0,0,0,1,0,0,0,2,3,0,7,60.97,1,1.64,0,0,0,1
270.4,15,11,1,Male,8,15,0.45,0,0,1,0,0,0,0,0,0,0,0,1,15,15,2,17.42,4,22.96,0,0,0,1
203.6,2,42,0,Female,5,2,1.02,0,0,1,0,0,0,0,0,0,0,0,1,25,25,2,17.42,8,45.92,0,0,0,1
540.1,2,56,1,Male,13,2,1.98,0,0,1,0,0,0,0,0,0,0,0,1,112,0,7,60.97,32,52.48,1,0,0,0
303.6,7,23,1,Male,7,7,1.08,0,0,0,1,0,0,0,0,0,0,0,1,37,0,7,60.97,5,8.2,0,0,0,1
852.3,3,12,0,Female,14,3,0.76,0,0,1,0,0,1,0,0,0,0,0,2,42,42,4,34.84,4,11.48,2,0,0,0
180.3,20,21,1,Male,12,20,0.27,0,0,0,0,0,1,0,0,0,0,0,1,13,0,7,60.97,4,6.56,1,0,0,1
473,477,33,1,Male,33,477,0.08,0,0,0,1,0,0,0,0,0,0,0,1,11,0,7,30.03,0,0,2,0,0,1
825.5,61,52,1,Male,36,61,0.54,0,0,0,0,0,0,0,1,0,0,0,1,78,0,7,62.02,1,1.61,3,0,0,1
270.4,82,54,0,Female,8,82,0.31,0,0,0,1,0,0,0,0,0,0,0,1,10,0,7,39.97,0,0,0,0,0,1
129.6,43,32,0,Female,5,43,0.85,0,0,1,0,0,0,0,0,0,0,0,1,19,0,3,26.13,7,26.79,0,0,0,1
109.7,52,23,0,Female,7,52,0.37,0,0,0,0,0,0,0,1,0,0,0,1,10,0,7,60.97,2,3.28,1,0,0,1
476.1,112,17,0,Female,12,112,0.93,0,0,1,0,0,0,0,0,0,0,0,1,43,0,7,60.97,0,0,1,0,0,1
151,55,21,1,Male,22,55,0.14,0,0,0,1,0,0,0,0,0,0,0,1,13,0,7,60.97,1,1.64,1,0,0,1
1988.6,1,52,0,Female,57,1,1.61,0,0,0,1,0,0,0,0,0,0,0,1,370,0,7,49.98,20,40.02,5,0,0,0
816.2,5,7,1,Male,25,5,0.69,0,0,1,0,0,0,0,0,0,0,0,1,72,65,2,17.42,5,28.7,2,0,0,0
73.6,133,21,0,Female,6,133,0.62,0,0,0,1,0,0,0,0,0,0,0,1,15,0,7,28.98,8,27.61,1,0,0,1
1324.3,7,44,0,Female,38,7,1.9,1,0,1,0,0,0,0,0,0,0,0,1,286,0,7,60.97,16,26.24,3,0,0,1
76.6,1,43,1,Male,4,1,0.34,0,0,0,1,0,0,0,0,0,0,0,1,5,0,7,60.97,2,3.28,0,0,0,1
294.2,25,9,0,Female,23,25,0.23,0,0,1,0,0,0,0,0,0,0,0,1,20,13,2,17.42,1,5.74,3,0,0,1
45.1,25,23,0,Female,6,25,0.04,0,0,0,1,0,0,0,0,0,0,0,1,1,0,7,30.03,1,3.33,0,0,0,1
173.9,48,19,0,Female,10,48,0.68,0,0,0,1,0,0,0,0,0,0,0,1,25,0,7,62.02,4,6.45,1,0,0,1
849.8,1,43,0,Female,38,1,1.42,1,0,0,1,0,0,0,0,0,0,0,1,214,0,7,21.98,9,40.95,3,0,0,1
887.7,74,38,1,Male,43,74,0.11,0,0,0,1,0,1,0,1,0,0,0,3,18,17,2,8.58,0,0,4,0,0,1
310.2,132,27,1,Male,9,132,0.63,0,0,1,0,0,0,0,0,0,0,0,1,23,0,7,60.97,0,0,1,0,0,1
30,12,23,0,Female,0,12,1.86,0,0,0,1,0,0,0,0,0,0,0,1,8,0,7,28.98,8,27.61,0,0,0,1
836.3,1,3,1,Male,24,1,0.35,0,0,1,0,0,0,0,0,0,0,0,1,35,29,2,14.86,5,33.65,2,0,0,0
70.6,223,23,0,Female,8,223,0.1,0,0,0,0,0,0,0,1,0,0,0,1,3,0,7,59.01,1,1.69,1,0,0,1
197.1,36,3,1,Male,4,36,0.6,0,0,1,0,0,0,0,0,0,0,0,1,13,13,2,19.42,3,15.45,0,0,0,1
1299.4,29,22,0,Female,34,29,3.07,0,0,1,0,0,0,0,0,0,0,0,1,412,0,7,60.97,30,49.2,4,0,0,1
708.2,5,9,1,Male,25,5,0.62,0,0,1,0,0,0,0,0,0,0,0,1,64,64,2,17.42,6,34.44,2,0,0,0
1171.45,5,3,1,Male,34,5,0.83,0,0,1,0,0,0,0,0,0,0,0,1,116,98,2,17.14,7,40.84,3,0,0,0
121.1,343,37,1,Male,11,343,0.04,0,0,0,1,0,0,1,0,0,0,0,2,2,0,1,8.71,0,0,1,0,0,1
85.9,289,23,0,Female,33,289,0.05,1,0,0,1,0,0,0,0,0,0,0,1,7,0,7,41.02,6,14.63,2,0,0,1
93.6,13,23,1,Male,4,13,0.6,0,0,0,1,0,0,0,0,0,0,0,1,13,0,7,23.03,5,21.71,0,0,0,1
