LifetimeValue,DaysWithoutFrequency,Age,Gender_dummy,Gender,EnrollmentDuration,DaysWithoutFrequency,AverageFrequency,UseByTime,AthleticsActivities,WaterActivities,FitnessActivities,DanceActivities,TeamActivities,RacketActivities,CombatActivities,NatureActivities,SpecialActivities,OtherActivities,NumberOfActivities,NumberOfFrequencies,AttendedClasses,AllowedWeeklyVisitsBySLA,AllowedNumberOfVisitsBySLA,RealNumberOfVisits,Ratio,NumberOfRenewals,HasReferences,NumberOfReferences,Dropout
1089.2,43,17,1,Male,33,43,0.39,0,0,1,0,0,1,0,0,0,0,0,2,51,51,1,8.86,3,33.86,3,0,0,1
410.6,3,66,1,Male,15,3,2.05,0,0,0,0,0,0,0,0,0,1,0,1,126,0,7,49.98,17,34.01,2,0,0,0
38.5,12,24,1,Male,1,12,1.2,0,0,0,1,0,0,0,0,0,0,0,1,6,0,7,34.02,6,17.64,0,0,0,1
78.6,42,25,0,Female,2,42,0.33,0,0,0,1,0,0,0,0,0,0,0,1,3,0,7,60.97,3,4.92,0,0,0,1
46.1,49,21,1,Male,2,49,0.13,0,0,0,0,0,0,0,1,0,0,0,1,1,0,7,52.01,1,1.92,0,0,0,1
43.6,190,22,0,Female,7,190,0.29,0,0,0,1,0,0,0,0,0,0,0,1,8,0,7,28.98,8,27.61,1,0,0,1
223.6,61,38,0,Female,6,61,1.02,0,0,1,0,0,0,0,0,0,0,0,1,29,0,7,60.97,1,1.64,0,0,0,1
90.2,3,4,1,Male,1,3,0.56,0,0,1,0,0,0,0,0,0,0,0,1,4,4,2,14,4,28.57,0,0,0,0
314.5,6,37,1,Male,22,6,0.4,0,0,1,0,0,0,0,0,0,0,0,1,37,30,1,8.71,7,80.37,1,0,0,1
648.6,1,39,1,Male,13,1,1.61,0,0,0,0,0,1,0,0,0,0,0,1,90,0,7,60.97,17,27.88,1,0,0,0
183.4,20,77,0,Female,9,20,1.01,0,0,0,0,0,0,0,0,0,1,0,1,35,0,7,34.02,4,11.76,1,0,0,1
125.4,31,25,0,Female,4,31,1.97,0,0,0,1,0,0,0,0,0,0,0,1,43,0,7,66.99,10,14.93,0,0,0,1
277,5,7,1,Male,12,5,0.65,0,0,0,0,0,0,0,1,0,0,0,1,33,16,1,8.71,7,80.37,1,0,0,0
100.6,81,63,0,Female,5,81,0.64,0,0,0,1,0,0,0,0,0,0,0,1,12,0,7,60.97,0,0,0,0,0,1
95.6,35,22,0,Female,2,35,0.84,0,0,0,1,0,0,0,0,0,0,0,1,10,0,7,59.99,4,6.67,0,0,0,1
404.55,724,41,1,Male,55,724,0.05,0,0,1,0,0,0,0,0,0,0,0,1,12,0,7,60.97,0,0,5,0,0,0
885.4,12,2,0,Female,25,12,0.65,0,0,1,0,0,0,0,0,0,0,0,1,66,64,2,17.42,5,28.7,2,0,0,0
329.2,103,21,0,Female,21,103,0.51,0,0,0,1,0,0,0,0,0,0,0,1,42,0,7,30.03,3,9.99,3,0,0,1
198.2,158,33,0,Female,13,158,0.33,0,0,0,1,0,0,0,0,0,0,0,1,16,0,7,28.98,1,3.45,2,0,0,1
123.6,79,10,1,Male,5,79,0.5,0,0,1,0,0,0,0,0,0,0,0,1,9,10,2,68.58,5,7.29,1,0,0,1
194.6,36,22,1,Male,16,36,0.34,0,0,0,1,0,0,0,0,0,0,0,1,22,0,7,60.97,3,4.92,2,0,0,1
133.6,55,21,0,Female,5,55,1.77,0,0,0,1,0,0,0,0,0,0,0,1,39,0,7,67.97,2,2.94,0,0,0,1
225.5,19,47,0,Female,21,19,0.22,0,0,0,1,0,0,0,0,0,0,0,1,19,8,2,17.42,4,22.96,1,0,0,1
178.6,85,30,0,Female,6,85,0.99,0,0,1,0,0,0,0,0,0,0,0,1,24,0,7,240.03,6,2.5,1,0,0,1
161.6,37,21,1,Male,9,37,0.69,0,0,0,1,0,0,0,0,0,0,0,1,28,0,7,66.99,6,8.96,0,0,0,1
118.6,5,30,0,Female,4,5,1.53,0,0,0,1,0,0,0,0,0,0,0,1,30,0,7,59.99,16,26.67,0,0,0,1
88.2,285,49,0,Female,11,285,0.22,0,0,0,1,0,0,0,0,0,0,0,1,10,0,7,28.98,4,13.8,1,0,0,1
239.3,102,32,1,Male,49,102,0.03,0,0,0,0,0,0,0,1,0,0,0,1,5,0,7,60.97,0,0,5,0,0,1
64.7,30,26,0,Female,2,30,1.02,0,0,1,0,0,0,0,0,0,0,0,1,13,12,2,17.42,8,45.92,0,0,0,1
295.2,30,23,0,Female,16,30,0.59,0,0,1,1,0,0,0,0,0,0,0,2,39,0,7,30.03,2,6.66,1,0,0,1
641.7,196,2,1,Male,16,196,0.08,0,0,1,0,0,0,0,0,0,0,0,1,5,3,2,17.42,0,0,2,0,0,1
184.2,269,42,0,Female,13,269,0.18,0,0,0,0,0,0,0,0,0,1,0,1,9,9,1,8.43,0,0,2,0,0,1
43.6,120,19,1,Male,5,120,0.52,0,0,0,1,0,0,0,0,0,0,0,1,9,0,7,28.98,9,31.06,1,0,0,1
90,0,21,1,Male,3,0,2.27,0,0,0,1,0,0,0,0,0,0,0,1,37,0,7,60.97,15,24.6,0,0,0,1
288,0,5,1,Male,11,0,0.75,0,0,1,0,0,0,0,0,0,0,0,1,31,24,2,17.42,8,45.92,1,0,0,1
1763.38,136,5,1,Male,62,136,0.59,0,0,1,0,0,0,0,0,0,0,0,1,144,75,2,17.42,0,0,6,1,3,1
275.6,12,34,0,Female,10,12,1.78,0,0,0,1,0,0,0,0,0,0,0,1,78,0,7,60.97,11,18.04,0,0,0,1
230.2,233,16,0,Female,11,233,0.31,0,0,0,0,0,0,0,1,0,0,0,1,14,0,7,60.97,0,0,1,0,0,1
1223.3,49,37,1,Male,36,49,0.81,0,0,0,0,0,0,0,0,0,1,0,1,119,122,2,6.28,0,0,3,0,0,0
183.6,46,21,0,Female,28,46,0.21,0,0,0,1,0,0,0,0,0,0,0,1,23,0,7,60.97,6,9.84,3,0,0,1
227.2,2,30,1,Male,15,2,1.34,0,0,0,1,0,0,0,0,0,0,0,1,83,0,7,30.03,14,46.62,1,0,0,1
259.45,181,38,0,Female,13,181,0.4,0,0,1,0,0,0,0,0,0,0,0,1,19,7,7,60.97,0,0,2,0,0,1
420.2,5,3,1,Male,9,5,0.61,0,0,1,0,0,0,0,0,0,0,0,1,24,8,2,17.42,4,22.96,1,0,0,0
1194.2,884,10,0,Female,57,884,0.23,0,0,1,0,0,0,0,0,0,0,0,1,53,55,2,17.42,0,0,4,1,1,1
400.25,25,34,0,Female,21,25,0.85,0,0,0,1,0,0,0,0,0,0,0,1,69,0,7,37.03,2,5.4,2,0,0,1
71.95,323,25,0,Female,11,323,0.09,0,0,0,1,0,0,0,0,0,0,0,1,4,0,7,28.98,4,13.8,1,0,0,1
233.5,34,19,1,Male,9,34,0.82,0,0,0,0,0,0,0,1,0,0,0,1,27,0,7,52.99,5,9.44,1,0,0,1
127.7,14,23,0,Female,6,14,1.15,0,0,1,1,0,0,0,0,0,0,0,2,31,0,7,38.01,10,26.31,0,0,0,1
374.9,428,45,0,Female,27,428,0.06,0,0,0,1,0,0,0,0,0,0,0,1,6,0,2,17.42,0,0,2,0,0,1
1721.52,65,40,1,Male,44,65,2.01,0,0,1,0,0,0,0,0,0,0,0,1,360,0,7,60.97,0,0,4,0,0,0
693.1,165,14,0,Female,38,165,0.14,0,0,0,0,0,1,0,0,0,0,0,1,22,22,6,52.26,0,0,4,0,0,1
65.4,35,20,0,Female,4,35,0.69,0,0,0,1,0,0,0,0,0,0,0,1,10,0,7,60.97,3,4.92,0,0,0,1
813.2,45,10,1,Male,22,45,0.81,0,0,1,0,0,0,0,0,0,0,0,1,68,60,4,34.84,10,28.7,3,0,0,1
448.6,38,25,1,Male,9,38,0.98,0,0,0,0,0,0,1,0,0,0,0,1,35,31,2,17.42,4,22.96,0,0,0,1
315.1,17,14,0,Female,9,17,1.12,0,0,1,0,0,0,0,0,0,0,0,1,42,43,4,34.84,4,11.48,0,0,0,1
43.6,13,75,1,Male,2,13,2.33,0,0,0,0,0,0,0,0,0,1,0,1,21,0,7,30.03,7,23.31,0,0,0,1
103.2,312,21,0,Female,12,312,0.27,0,0,0,1,0,0,0,0,0,0,0,1,13,0,7,28.98,0,0,1,0,0,1
161,60,20,1,Male,16,60,0.31,0,0,0,1,0,0,0,0,0,0,0,1,19,0,7,60.97,1,1.64,2,0,0,1
37.6,156,23,1,Male,5,156,0.05,0,0,0,1,0,0,0,0,0,0,0,1,1,0,7,28.98,1,3.45,1,0,0,1
47.2,0,18,0,Female,0,0,2.18,0,0,0,1,0,0,0,0,0,0,0,1,5,0,7,14.98,4,26.7,0,0,0,0
47.5,7,29,1,Male,1,7,2.84,0,0,0,1,0,0,0,0,0,0,0,1,15,0,7,35.98,15,41.69,0,0,0,1
129.6,45,22,0,Female,7,45,0.95,0,0,0,1,0,0,0,0,0,0,0,1,26,0,7,60.97,4,6.56,0,0,0,1
497.5,44,22,1,Male,25,44,0.99,0,0,0,1,0,0,0,1,0,0,0,2,96,0,7,59.01,3,5.08,3,0,0,1
104.3,0,4,0,Female,1,0,0.86,0,0,1,0,0,0,0,0,0,0,0,1,6,4,2,13.72,6,43.73,0,0,0,0
463,103,43,1,Male,26,103,0.03,0,0,0,0,0,0,0,1,0,0,0,1,3,0,7,59.01,0,0,3,0,0,1
118.1,469,23,1,Male,18,469,0.3,0,0,0,1,0,0,0,1,0,0,0,2,22,0,7,60.97,5,8.2,2,0,0,0
83.2,292,19,0,Female,11,292,0.48,0,0,0,1,0,0,0,0,0,0,0,1,21,0,7,28.98,4,13.8,1,0,0,1
410.8,26,5,1,Male,14,26,0.51,0,0,1,0,0,0,0,0,0,0,0,1,28,22,2,10.86,3,27.62,2,1,1,1
1282.2,63,16,1,Male,35,63,1.02,0,0,1,0,0,1,0,0,0,0,0,2,142,86,7,60.97,0,0,4,0,0,1
148.9,185,46,0,Female,8,185,0.11,0,0,0,1,0,0,0,0,0,0,0,1,3,0,4,34.84,0,0,2,0,0,1
291.1,16,14,1,Male,4,16,0.84,0,0,0,0,0,0,1,0,0,0,0,1,17,17,2,17.42,6,34.44,0,0,0,1
1143.6,47,4,0,Female,29,47,0.56,0,0,1,0,0,0,0,0,0,0,0,1,66,56,2,16.86,2,11.86,2,0,0,1
83.6,46,26,1,Male,3,46,1.01,0,0,0,0,0,1,0,0,0,0,0,1,11,0,7,60.97,8,13.12,0,0,0,1
131.6,65,22,1,Male,4,65,0.29,0,0,1,0,0,0,0,0,0,0,0,1,5,0,7,62.02,0,0,0,0,0,1
370.6,18,23,0,Female,20,18,1.23,0,0,1,0,0,0,0,0,0,0,0,1,103,0,7,60.97,13,21.32,1,0,0,1
125.6,94,1,1,Male,6,94,0.29,0,0,1,0,0,0,0,0,0,0,0,1,8,7,2,25.72,0,0,0,0,0,1
59.7,32,29,0,Female,1,32,1.23,0,0,1,0,0,0,0,0,0,0,0,1,9,0,7,56.98,14,24.57,0,0,0,1
229.6,39,71,0,Female,8,39,1.42,0,0,0,1,0,0,0,0,0,0,0,1,34,31,6,51.42,7,13.61,2,0,0,1
110.6,44,23,0,Female,8,44,0.32,0,0,1,1,0,0,0,0,0,0,0,2,11,0,7,60.97,5,8.2,0,0,0,1
63.6,39,19,0,Female,3,39,0.52,0,0,0,1,0,0,0,0,0,0,0,1,7,0,7,60.97,2,3.28,0,0,0,1
63.2,302,56,0,Female,11,302,0.18,0,0,0,1,0,0,0,0,0,0,0,1,8,0,7,28.98,8,27.61,1,0,0,1
161.6,40,26,1,Male,4,40,1.39,0,0,1,0,0,0,0,0,0,0,0,1,29,0,7,60.97,12,19.68,0,0,0,1
173.5,32,23,0,Female,32,32,0.18,0,0,0,1,0,0,0,0,0,0,0,1,23,0,7,60.97,12,19.68,2,0,0,1
122.2,47,24,0,Female,4,47,0.86,0,0,0,1,0,0,0,0,0,0,0,1,16,0,7,60.97,4,6.56,0,0,0,1
205.7,13,27,1,Male,18,13,0.6,0,0,0,1,0,0,0,0,0,0,0,1,45,0,7,27.02,5,18.5,1,0,0,1
95.6,5,21,0,Female,3,5,2.52,0,0,1,0,0,0,0,0,0,0,0,1,23,0,7,59.99,25,41.67,0,0,0,1
621.8,50,12,0,Female,21,50,0.53,0,0,1,0,0,0,0,0,0,0,0,1,48,42,2,17.42,3,17.22,1,0,0,1
107.6,20,22,1,Male,7,20,0.82,0,0,0,1,0,0,0,0,0,0,0,1,25,0,7,30.03,4,13.32,0,0,0,1
60.2,18,60,0,Female,1,18,1.8,0,0,0,0,0,0,0,1,0,0,0,1,10,0,7,38.01,10,26.31,0,0,0,1
117.6,88,55,1,Male,5,88,0.05,0,0,0,0,0,0,0,1,0,0,0,1,1,0,7,60.97,0,0,0,0,0,1
1696.18,29,45,0,Female,62,29,0.24,1,0,1,0,0,0,0,0,0,0,0,1,58,4,7,62.02,0,0,6,0,0,1
395.2,13,23,1,Male,18,13,1.33,0,0,0,1,0,0,0,0,0,0,0,1,100,0,7,30.03,4,13.32,1,0,0,1
69.6,38,37,1,Male,3,38,0.22,0,0,0,1,0,0,0,0,0,0,0,1,3,0,7,60.97,1,1.64,0,0,0,1
358.6,131,3,0,Female,12,131,0.39,0,0,1,0,0,0,0,0,0,0,0,1,16,14,2,17.42,0,0,2,0,0,1
300.4,34,53,1,Male,9,34,0.51,0,0,0,0,0,1,0,0,0,0,0,1,20,20,4,34.84,2,5.74,0,0,0,1
113.2,43,25,1,Male,6,43,0.46,0,0,0,1,0,0,0,0,0,0,0,1,10,0,7,60.97,2,3.28,1,0,0,1
33.6,174,20,0,Female,6,174,0.22,0,0,0,1,0,0,0,0,0,0,0,1,5,0,7,28.98,6,20.7,1,0,0,1
65.4,162,46,0,Female,7,162,0.15,1,1,0,0,0,0,0,0,0,0,0,1,4,0,7,59.01,4,6.78,0,0,0,1
125.4,39,22,0,Female,4,39,1.5,0,0,1,0,0,0,0,0,0,0,0,1,25,13,7,60.97,11,18.04,0,0,0,1
105.6,51,21,0,Female,8,51,0.35,0,0,0,1,0,0,0,0,0,0,0,1,10,0,7,59.99,3,5,1,0,0,1
117.6,83,34,0,Female,4,83,0.2,0,0,0,1,0,0,0,0,0,0,0,1,3,0,7,60.97,1,1.64,1,0,0,1
220,87,21,1,Male,22,87,1.23,0,1,0,0,0,0,0,0,0,0,0,1,116,0,7,60.97,0,0,1,0,0,1
389.45,27,33,0,Female,12,27,0.75,1,0,1,0,0,0,0,0,0,0,0,1,32,18,7,60.97,6,9.84,2,0,0,1
404.6,26,59,0,Female,12,26,1.44,0,0,1,1,0,0,0,0,0,0,0,2,66,0,7,60.97,7,11.48,2,0,0,1
71.2,286,20,0,Female,11,286,0.16,0,0,0,1,0,0,0,0,0,0,0,1,7,0,7,28.98,2,6.9,1,0,0,1
40,48,20,1,Male,2,48,1.11,0,0,0,1,0,0,0,0,0,0,0,1,10,0,7,60.97,9,14.76,0,0,0,1
68.6,62,34,1,Male,3,62,0.1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,2,17.42,0,0,0,0,0,1
344.6,43,18,0,Female,10,43,1.74,0,0,0,0,0,1,0,0,0,0,0,1,70,70,6,52.26,7,13.39,0,0,0,1
655.6,216,40,1,Male,29,216,0.2,0,0,0,0,0,1,0,0,0,0,0,1,23,23,2,17.42,0,0,3,0,0,1
214.6,64,42,0,Female,7,64,0.47,0,0,0,1,0,0,0,0,0,0,0,1,16,16,2,17.42,0,0,0,0,0,1
71.6,48,21,0,Female,3,48,0.54,0,0,0,1,0,0,0,0,0,0,0,1,7,0,7,60.97,2,3.28,0,0,0,1
71.6,155,19,0,Female,7,155,1.07,0,0,0,1,0,0,0,0,0,0,0,1,28,0,7,28.98,12,41.41,1,0,0,1
276.4,8,5,0,Female,9,8,0.54,0,0,1,0,0,0,0,0,0,0,0,1,21,21,2,17.42,4,22.96,0,0,0,1
37.6,167,23,0,Female,6,167,0.16,0,0,0,1,0,0,0,0,0,0,0,1,4,0,7,28.98,3,10.35,1,0,0,1
219.35,6,2,0,Female,8,6,0.49,0,0,1,0,0,0,0,0,0,0,0,1,13,10,2,16.86,6,35.59,2,0,0,1
131.6,81,26,1,Male,5,81,0.74,0,0,1,0,0,0,0,0,0,0,0,1,16,0,7,59.01,0,0,0,0,0,1
480.6,0,27,1,Male,13,0,1.66,0,0,1,0,0,0,0,0,0,0,0,1,93,93,2,17.42,14,80.37,1,0,0,0
55.6,50,27,0,Female,3,50,1.35,0,0,0,1,0,0,0,0,0,0,0,1,15,0,7,7.98,1,12.53,1,0,0,1
338.2,84,12,1,Male,12,84,0.45,0,0,1,0,0,0,0,0,0,0,0,1,21,0,1,8.71,2,22.96,1,0,0,1
85.6,39,20,1,Male,4,39,1.37,0,0,0,1,0,0,0,0,0,0,0,1,19,0,7,60.97,11,18.04,0,0,0,1
30,38,20,0,Female,2,38,0.34,0,0,0,1,0,0,0,0,0,0,0,1,2,0,7,39.97,2,5,0,0,0,1
195.85,11,24,1,Male,9,11,1.15,0,0,0,1,0,0,0,0,0,0,0,1,40,0,7,30.03,2,6.66,1,0,0,1
231.5,41,16,0,Female,9,41,0.2,0,0,0,0,0,0,0,1,0,0,0,1,8,0,7,60.97,1,1.64,0,0,0,1
147.6,1,20,0,Female,24,1,0.26,0,0,0,1,0,0,0,0,0,0,0,1,25,0,7,21.98,12,54.6,2,0,0,0
304.9,109,28,0,Female,32,109,0.11,0,0,0,1,0,0,0,1,0,0,0,2,14,0,7,60.97,0,0,2,0,0,1
153.95,1,28,0,Female,5,1,1.4,0,0,0,1,0,0,0,0,0,0,0,1,30,0,7,60.97,16,26.24,1,0,0,0
99.5,32,22,0,Female,25,32,0.11,0,0,0,1,0,0,0,0,0,0,0,1,11,1,7,60.97,6,9.84,3,0,0,1
311.05,78,21,0,Female,21,78,0.31,0,0,1,1,0,0,0,0,0,0,0,2,25,0,7,62.02,0,0,3,0,0,1
773.2,46,31,1,Male,56,46,1.02,0,0,0,1,0,0,0,0,0,0,0,1,229,0,7,62.02,4,6.45,5,0,0,1
653.6,46,39,0,Female,18,46,2.75,0,0,0,1,0,0,0,0,0,0,0,1,191,0,7,62.02,10,16.12,2,0,0,1
167.6,31,23,0,Female,5,31,0.47,0,0,0,1,0,0,0,0,0,0,0,1,12,0,7,60.97,5,8.2,0,0,0,1
456.27,1,7,0,Female,23,1,0.64,0,0,0,0,0,0,0,1,0,0,0,1,58,48,1,8.71,5,57.41,3,1,1,1
207.3,12,23,0,Female,8,12,2.79,0,0,0,1,0,0,0,0,0,0,0,1,91,0,7,60.97,22,36.08,1,0,0,1
614.05,61,13,1,Male,16,61,0.6,0,0,1,0,0,0,0,0,0,0,0,1,40,38,2,17.42,1,5.74,1,0,0,1
79.6,156,25,1,Male,6,156,0.26,0,0,0,0,0,0,0,1,0,0,0,1,6,0,7,60.97,0,0,1,0,0,1
199.6,169,42,0,Female,13,169,0.34,0,0,0,1,0,0,0,0,0,0,0,1,18,0,7,60.97,0,0,2,0,0,1
286.2,0,63,0,Female,8,0,3.07,0,0,0,1,0,0,0,0,0,0,0,1,106,12,7,58.03,35,60.31,1,0,0,0
64.9,46,20,0,Female,2,46,0.58,0,0,0,1,0,0,0,0,0,0,0,1,5,0,7,59.01,5,8.47,0,0,0,1
84.6,9,37,0,Female,2,9,1.4,0,0,0,1,0,0,0,0,0,0,0,1,16,0,7,30.03,6,19.98,0,0,0,1
302.05,150,49,1,Male,13,150,0.81,0,0,0,1,0,0,0,1,0,0,0,2,45,0,7,52.01,0,0,1,0,0,0
996.7,32,21,0,Female,34,32,1.94,0,0,1,1,0,0,0,1,0,0,0,3,274,0,7,67.97,16,23.54,2,0,0,1
191.6,12,27,0,Female,7,12,2.27,0,0,1,0,0,0,0,0,0,0,0,1,72,0,7,60.97,13,21.32,0,0,0,1
40,39,24,0,Female,2,39,0.41,0,0,0,1,0,0,0,0,0,0,0,1,4,0,7,60.97,1,1.64,0,0,0,1
616.15,70,32,1,Male,58,70,0.15,0,0,1,0,0,0,0,0,0,0,0,1,34,3,7,60.97,0,0,4,0,0,1
337.9,63,24,0,Female,12,63,0.75,0,0,0,1,0,0,0,0,0,0,0,1,34,0,7,59.01,0,0,2,0,0,1
88.6,8,21,0,Female,3,8,1.05,0,0,0,1,0,0,0,0,0,0,0,1,14,0,7,60.97,7,11.48,0,0,0,1
708.4,12,28,1,Male,30,12,1.15,0,0,0,0,0,1,0,0,0,0,0,1,137,0,7,60.97,12,19.68,3,0,0,1
69.2,12,66,0,Female,1,12,1.02,0,0,1,0,0,0,0,0,0,0,0,1,6,0,7,38.99,5,12.82,0,0,0,1
47.6,2,25,1,Male,1,2,2.26,0,0,0,1,0,0,0,0,0,0,0,1,10,0,7,30.03,10,33.3,0,0,0,1
53.6,41,21,0,Female,2,41,0.54,0,0,0,1,0,0,0,0,0,0,0,1,5,0,7,60.97,8,13.12,0,0,0,1
321.2,0,35,0,Female,8,0,3.48,1,0,0,1,0,0,0,0,0,0,0,1,105,0,7,59.99,30,50.01,1,0,0,1
144.05,138,23,1,Male,46,138,0.15,1,0,0,1,0,0,0,0,0,0,0,1,28,0,7,35,2,5.71,3,0,0,1
60.65,414,39,1,Male,13,414,0.02,0,0,0,1,0,0,0,0,0,0,0,1,1,0,7,37.03,1,2.7,1,0,0,0
535.3,163,39,0,Female,42,163,0.03,0,0,1,1,0,0,0,0,0,0,0,2,5,1,7,59.01,0,0,3,0,0,1
43.7,2,37,0,Female,0,2,0.97,0,0,0,1,0,0,0,0,0,0,0,1,4,0,7,21.98,2,9.1,0,0,0,0
83.2,295,23,0,Female,11,295,0.27,0,0,0,1,0,0,0,0,0,0,0,1,12,0,7,28.98,1,3.45,1,0,0,1
541.2,144,2,1,Male,18,144,0.34,0,0,1,0,0,0,0,0,0,0,0,1,24,21,2,17.42,0,0,2,0,0,1
73.6,127,24,0,Female,6,127,0.74,0,0,0,1,0,0,0,0,0,0,0,1,16,0,7,28.98,7,24.15,1,0,0,1
92.6,245,18,0,Female,8,245,0.03,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2,68.58,0,0,1,0,0,1
125.6,67,25,1,Male,4,67,0.14,0,0,0,1,0,0,0,0,0,0,0,1,3,0,7,67.97,0,0,0,0,0,1
210.3,0,22,1,Male,33,0,0.44,0,0,0,1,0,0,0,0,0,0,0,1,59,0,7,51.03,31,60.75,3,0,0,0
43.6,23,22,0,Female,1,23,0.88,0,0,0,1,0,0,0,0,0,0,0,1,4,0,7,30.03,4,13.32,0,0,0,1
158.6,45,22,1,Male,10,45,0.38,0,0,0,1,0,0,0,0,0,0,0,1,16,0,7,60.97,4,6.56,0,0,0,1
29.6,176,21,0,Female,6,176,0.21,0,0,0,1,0,0,0,0,0,0,0,1,5,0,7,28.98,5,17.25,1,0,0,1
53.6,1,20,1,Male,1,1,1.81,0,0,0,1,0,0,0,0,0,0,0,1,8,0,7,30.03,8,26.64,0,0,0,1
176.6,108,34,1,Male,7,108,0.54,0,0,1,0,0,0,0,0,0,0,0,1,16,16,2,17.42,6,34.44,1,0,0,1
97.5,17,21,0,Female,4,17,0.51,0,0,0,1,0,0,0,0,0,0,0,1,10,0,7,35.98,5,13.9,0,0,0,1
483.5,95,18,0,Female,51,95,0.16,0,0,0,0,0,1,0,0,0,0,0,1,31,29,6,52.26,1,1.91,5,0,0,1
303.2,9,21,0,Female,16,9,0.54,0,0,0,1,0,0,0,0,0,0,0,1,37,0,7,30.03,5,16.65,1,0,0,1
164.5,2,27,0,Female,11,2,1.2,0,0,0,1,0,0,0,0,0,0,0,1,56,0,7,21.98,8,36.4,1,0,0,0
77.4,56,26,1,Male,3,56,1.28,0,0,0,1,0,0,0,0,0,1,0,2,17,0,7,2.03,0,0,0,0,0,1
262.6,104,60,0,Female,7,104,0.07,0,0,0,1,0,0,0,0,0,1,0,2,2,1,1,8.71,0,0,0,0,0,1
120,37,23,0,Female,15,37,0.73,0,0,0,1,0,0,0,0,0,0,0,1,42,0,7,60.97,8,13.12,2,0,0,1
176.2,264,21,0,Female,22,264,0.38,1,0,0,1,0,0,0,0,0,0,0,1,33,0,7,60.97,3,4.92,1,0,0,1
163.6,51,31,0,Female,7,51,0.15,0,0,1,1,0,0,0,0,0,0,0,2,3,0,7,62.02,2,3.22,2,0,0,1
121.7,11,36,1,Male,6,11,0.94,0,0,0,1,0,0,0,0,0,0,0,1,25,0,7,60.97,18,29.52,0,0,0,1
145.5,29,22,1,Male,8,29,0.75,0,0,0,0,0,0,0,1,0,0,0,1,25,0,7,60.97,5,8.2,0,0,0,1
330.4,11,7,1,Male,10,11,0.84,0,0,1,0,0,0,0,0,0,0,0,1,37,32,2,17.42,9,51.66,0,0,0,1
43.7,1,22,0,Female,0,1,1.17,0,0,0,1,0,0,0,0,0,0,0,1,4,0,7,21.98,4,18.2,0,0,0,0
375.7,214,14,1,Male,12,214,0.32,0,0,0,0,0,0,1,0,0,0,0,1,16,16,2,17.42,0,0,1,0,0,1
47.6,59,25,1,Male,3,59,0.18,0,0,0,1,0,0,0,0,0,0,0,1,2,0,7,60.97,1,1.64,0,0,0,1
49.6,45,21,1,Male,3,45,0.63,0,0,0,1,0,0,0,0,0,0,0,1,7,0,7,60.97,2,3.28,0,0,0,1
203.4,54,20,0,Female,9,54,0.39,0,0,0,1,0,0,0,0,0,0,0,1,15,0,7,60.97,4,6.56,0,0,0,1
87.4,60,16,0,Female,2,60,0.28,0,0,1,0,0,0,0,0,0,0,0,1,3,3,2,17.42,1,5.74,0,0,0,1
25.6,36,27,0,Female,2,36,0.39,0,0,0,1,0,0,0,0,0,0,0,1,3,0,7,49.98,3,6,0,0,0,1
83.2,285,33,0,Female,9,285,0.03,0,0,0,1,0,0,0,0,0,0,0,1,1,0,7,28.98,0,0,1,0,0,1
90.7,330,39,0,Female,11,330,0.09,0,0,1,0,0,0,0,0,0,0,0,1,4,0,7,60.97,0,0,1,0,0,1
254.65,18,35,0,Female,10,18,0.93,0,0,1,0,0,0,0,0,0,0,0,1,32,30,2,17.72,2,11.29,2,0,0,1
1072.4,20,9,0,Female,42,20,0.7,0,0,1,0,0,0,0,0,0,0,0,1,117,111,2,17.42,7,40.18,4,0,0,1
61.6,100,21,0,Female,5,100,0.85,0,0,0,1,0,0,0,0,0,0,0,1,16,0,7,28.98,4,13.8,1,0,0,1
776.8,1,23,1,Male,48,1,1.17,0,0,0,1,0,0,0,0,0,0,0,1,229,0,7,60.97,20,32.8,4,0,0,0
225.4,31,4,0,Female,7,31,0.43,0,0,1,0,0,0,0,0,0,0,0,1,10,11,2,17.72,2,11.29,2,0,0,1
127.6,76,35,1,Male,7,76,0.77,0,0,0,0,0,0,0,0,0,1,0,1,26,0,7,30.03,9,29.97,0,0,0,1
278.6,22,3,0,Female,11,22,0.42,0,0,1,0,0,0,0,0,0,0,0,1,18,17,2,17.42,4,22.96,2,0,0,1
146.5,7,22,0,Female,7,7,0.78,0,0,0,1,0,0,0,0,0,0,0,1,23,0,7,23.03,4,17.37,1,0,0,0
343.6,118,31,0,Female,11,118,1.11,0,0,1,0,0,0,0,0,0,0,0,1,46,0,7,60.97,0,0,2,0,0,1
154.6,81,32,1,Male,4,81,0.23,0,0,0,0,0,1,0,0,0,0,0,1,4,4,4,34.84,0,0,0,0,0,1
133.6,27,32,0,Female,4,27,1.17,0,0,1,0,0,0,0,0,0,0,0,1,25,0,7,60.97,1,1.64,0,0,0,1
78.7,10,18,0,Female,1,10,1.12,0,0,0,1,0,0,0,0,0,0,0,1,8,0,7,49,9,18.37,0,0,0,0
75.6,58,20,1,Male,7,58,0.79,0,0,0,1,0,0,0,0,0,0,0,1,24,0,7,60.97,1,1.64,0,0,0,1
